date,store_id,temperature_high_c,temperature_low_c,precipitation_mm,day_of_week,is_holiday,school_holidays,local_events,competitor_promotion
2023-01-01,S001,-2,-7,0.0,Sunday,True,False,False,False
2023-01-01,S002,-2,-7,0.0,Sunday,True,False,False,True
2023-01-01,S003,-2,-7,0.0,Sunday,True,False,False,False
2023-01-01,S004,-2,-7,0.0,Sunday,True,False,False,True
2023-01-01,S005,-2,-7,0.0,Sunday,True,False,False,False
2023-01-01,S006,-2,-7,0.0,Sunday,True,False,False,False
2023-01-02,S001,5,0,0.0,Monday,False,False,False,False
2023-01-02,S002,5,0,0.0,Monday,False,False,False,True
2023-01-02,S003,5,0,0.0,Monday,False,False,False,False
2023-01-02,S004,5,0,0.0,Monday,False,False,False,False
2023-01-02,S005,5,0,0.0,Monday,False,False,False,True
2023-01-02,S006,5,0,0.0,Monday,False,False,False,True
2023-01-03,S001,3,1,0.0,Tuesday,False,False,False,False
2023-01-03,S002,3,1,0.0,Tuesday,False,False,False,True
2023-01-03,S003,3,1,0.0,Tuesday,False,False,False,False
2023-01-03,S004,3,1,0.0,Tuesday,False,False,False,False
2023-01-03,S005,3,1,0.0,Tuesday,False,False,False,False
2023-01-03,S006,3,1,0.0,Tuesday,False,False,False,True
2023-01-04,S001,3,-5,0.0,Wednesday,False,False,False,False
2023-01-04,S002,3,-5,0.0,Wednesday,False,False,False,False
2023-01-04,S003,3,-5,0.0,Wednesday,False,False,False,False
2023-01-04,S004,3,-5,0.0,Wednesday,False,False,False,False
2023-01-04,S005,3,-5,0.0,Wednesday,False,False,False,False
2023-01-04,S006,3,-5,0.0,Wednesday,False,False,False,False
2023-01-05,S001,1,-6,0.0,Thursday,False,False,False,False
2023-01-05,S002,1,-6,0.0,Thursday,False,False,False,False
2023-01-05,S003,1,-6,0.0,Thursday,False,False,False,True
2023-01-05,S004,1,-6,0.0,Thursday,False,False,False,False
2023-01-05,S005,1,-6,0.0,Thursday,False,False,False,False
2023-01-05,S006,1,-6,0.0,Thursday,False,False,False,False
2023-01-06,S001,8,3,0.0,Friday,False,False,False,False
2023-01-06,S002,8,3,0.0,Friday,False,False,False,False
2023-01-06,S003,8,3,0.0,Friday,False,False,False,True
2023-01-06,S004,8,3,0.0,Friday,False,False,False,False
2023-01-06,S005,8,3,0.0,Friday,False,False,False,False
2023-01-06,S006,8,3,0.0,Friday,False,False,False,False
2023-01-07,S001,5,-3,11.9,Saturday,False,False,False,False
2023-01-07,S002,5,-3,11.9,Saturday,False,False,False,True
2023-01-07,S003,5,-3,11.9,Saturday,False,False,False,False
2023-01-07,S004,5,-3,11.9,Saturday,False,False,False,False
2023-01-07,S005,5,-3,11.9,Saturday,False,False,False,False
2023-01-07,S006,5,-3,11.9,Saturday,False,False,False,False
2023-01-08,S001,2,-3,0.0,Sunday,False,False,False,False
2023-01-08,S002,2,-3,0.0,Sunday,False,False,False,False
2023-01-08,S003,2,-3,0.0,Sunday,False,False,False,False
2023-01-08,S004,2,-3,0.0,Sunday,False,False,False,False
2023-01-08,S005,2,-3,0.0,Sunday,False,False,False,True
2023-01-08,S006,2,-3,0.0,Sunday,False,False,False,False
2023-01-09,S001,0,1,0.0,Monday,False,False,False,False
2023-01-09,S002,0,1,0.0,Monday,False,False,False,True
2023-01-09,S003,0,1,0.0,Monday,False,False,False,False
2023-01-09,S004,0,1,0.0,Monday,False,False,False,False
2023-01-09,S005,0,1,0.0,Monday,False,False,False,False
2023-01-09,S006,0,1,0.0,Monday,False,False,False,False
2023-01-10,S001,6,-7,8.6,Tuesday,False,False,False,False
2023-01-10,S002,6,-7,8.6,Tuesday,False,False,False,False
