date,store_id,product_id,beginning_inventory,received_inventory,expiry_date,units_sold,units_expired,units_marked_down,markdown_price,markdown_date,current_stock
2023-01-02,S001,P040,0,112,2023-01-11,58,0,0,,,54
2023-01-03,S001,P040,54,0,,53,0,0,,,1
2023-01-04,S001,P040,1,54,2023-01-15,37,0,0,,,18
2023-01-05,S001,P040,18,0,,17,0,0,,,1
2023-01-06,S001,P040,1,207,2023-01-14,57,1,0,,,150
2023-01-07,S001,P040,150,0,,100,0,0,,,50
2023-01-09,S001,P040,50,0,,13,0,0,,,37
2023-01-10,S001,P040,37,0,,37,0,0,,,0
2023-01-11,S001,P040,0,171,2023-01-22,50,0,0,,,121
2023-01-12,S001,P040,121,0,,24,0,0,,,97
2023-01-13,S001,P040,97,0,,11,0,0,,,86
2023-01-14,S001,P040,86,0,,36,0,0,,,50
2023-01-16,S001,P040,50,0,,13,0,0,,,37
2023-01-17,S001,P040,37,0,,26,0,0,,,11
2023-01-18,S001,P040,11,27,2023-01-26,21,0,0,,,17
2023-01-19,S001,P040,17,0,,13,0,0,,,4
2023-01-20,S001,P040,4,21,2023-01-28,17,0,0,,,8
2023-01-21,S001,P040,8,0,,8,0,0,,,0
2023-01-23,S001,P040,0,201,2023-02-01,63,0,0,,,138
2023-01-24,S001,P040,138,0,,36,0,0,,,102
2023-01-25,S001,P040,102,195,2023-02-03,74,0,6,1.51,2023-01-25,223
2023-01-26,S001,P040,223,0,,52,0,0,,,171
2023-01-27,S001,P040,171,0,,53,0,0,,,118
2023-01-28,S001,P040,118,0,,38,0,0,,,80
2023-01-30,S001,P040,80,0,,29,0,0,,,51
2023-01-31,S001,P040,51,0,,34,0,0,,,17
2023-02-01,S001,P040,17,164,2023-02-10,52,0,0,,,129
2023-02-02,S001,P040,129,0,,56,0,0,,,73
2023-02-03,S001,P040,73,225,2023-02-13,70,0,0,,,228
2023-02-04,S001,P040,228,0,,9,0,0,,,219
2023-02-06,S001,P040,219,0,,76,0,0,,,143
2023-02-07,S001,P040,143,0,,74,0,0,,,69
2023-02-08,S001,P040,69,183,2023-02-17,79,0,0,,,173
2023-02-09,S001,P040,173,0,,48,0,0,,,125
2023-02-10,S001,P040,125,0,,62,0,0,,,63
2023-02-11,S001,P040,63,0,,63,0,0,,,0
2023-02-13,S001,P040,0,62,2023-02-22,39,0,0,,,23
2023-02-14,S001,P040,23,0,,20,0,0,,,3
2023-02-15,S001,P040,3,117,2023-02-26,48,0,0,,,72
2023-02-16,S001,P040,72,0,,48,0,0,,,24
2023-02-17,S001,P040,24,73,2023-02-26,20,0,0,,,77
2023-02-18,S001,P040,77,0,,76,2,0,,,0
2023-02-20,S001,P040,0,191,2023-03-03,55,0,0,,,136
2023-02-21,S001,P040,136,0,,42,0,0,,,94
2023-02-22,S001,P040,94,182,2023-03-02,55,0,0,,,221
2023-02-23,S001,P040,221,0,,37,0,0,,,184
2023-02-24,S001,P040,184,0,,29,0,0,,,155
2023-02-25,S001,P040,155,0,,106,0,0,,,49
2023-02-27,S001,P040,49,0,,9,0,0,,,40
2023-02-28,S001,P040,40,0,,33,0,0,,,7
2023-03-01,S001,P040,7,44,2023-03-12,20,0,0,,,31
2023-03-02,S001,P040,31,0,,31,0,0,,,0
2023-03-03,S001,P040,0,101,2023-03-13,51,0,0,,,50
2023-03-04,S001,P040,50,0,,50,0,0,,,0
2023-03-06,S001,P040,0,139,2023-03-15,37,0,0,,,102
2023-03-07,S001,P040,102,0,,33,0,0,,,69
2023-03-08,S001,P040,69,248,2023-03-19,63,0,0,,,254
2023-03-09,S001,P040,254,0,,44,0,0,,,210
2023-03-10,S001,P040,210,0,,56,0,0,,,154
2023-03-11,S001,P040,154,0,,88,0,0,,,66
2023-03-13,S001,P040,66,0,,34,0,0,,,32
2023-03-14,S001,P040,32,0,,5,0,0,,,27
2023-03-15,S001,P040,27,40,2023-03-23,16,0,0,,,51
2023-03-16,S001,P040,51,0,,24,0,0,,,27
2023-03-17,S001,P040,27,72,2023-03-25,49,0,7,1.51,2023-03-17,50
2023-03-18,S001,P040,50,0,,50,0,0,,,0
2023-03-20,S001,P040,0,97,2023-03-30,57,0,0,,,40
2023-03-21,S001,P040,40,0,,32,0,0,,,8
2023-03-22,S001,P040,8,164,2023-03-31,53,0,0,,,119
2023-03-23,S001,P040,119,0,,31,0,8,1.51,2023-03-23,88
2023-03-24,S001,P040,88,170,2023-04-03,64,0,8,1.51,2023-03-24,194
2023-03-25,S001,P040,194,0,,53,0,0,,,141
2023-03-27,S001,P040,141,0,,39,0,0,,,102
2023-03-28,S001,P040,102,0,,33,0,0,,,69
2023-03-29,S001,P040,69,0,,18,0,0,,,51
2023-03-30,S001,P040,51,0,,19,0,0,,,32
2023-03-31,S001,P040,32,93,2023-04-10,34,0,0,,,91
2023-04-01,S001,P040,91,0,,71,0,0,,,20
2023-04-03,S001,P040,20,31,2023-04-14,18,0,0,,,33
2023-04-04,S001,P040,33,0,,33,0,0,,,0
2023-04-05,S001,P040,0,94,2023-04-16,59,2,0,,,33
2023-04-06,S001,P040,33,0,,33,0,0,,,0
2023-04-07,S001,P040,0,7,2023-04-17,6,0,0,,,1
2023-04-08,S001,P040,1,0,,1,0,0,,,0
2023-04-10,S001,P040,0,31,2023-04-18,15,0,0,,,16
2023-04-11,S001,P040,16,0,,16,5,3,1.51,2023-04-11,0
2023-04-12,S001,P040,0,118,2023-04-21,36,0,0,,,82
2023-04-13,S001,P040,82,0,,40,0,0,,,42
2023-04-14,S001,P040,42,185,2023-04-24,59,0,6,1.51,2023-04-14,168
2023-04-15,S001,P040,168,0,,106,0,0,,,62
2023-04-17,S001,P040,62,0,,21,0,0,,,41
2023-04-18,S001,P040,41,0,,26,0,0,,,15
2023-04-19,S001,P040,15,203,2023-04-30,54,0,0,,,164
2023-04-20,S001,P040,164,0,,31,0,0,,,133
2023-04-21,S001,P040,133,0,,42,0,0,,,91
2023-04-22,S001,P040,91,0,,12,0,0,,,79
2023-04-24,S001,P040,79,68,2023-05-04,43,0,0,,,104
2023-04-25,S001,P040,104,0,,72,3,0,,,29
2023-04-26,S001,P040,29,66,2023-05-04,38,0,0,,,57
2023-04-27,S001,P040,57,0,,18,0,0,,,39
2023-04-28,S001,P040,39,66,2023-05-09,32,0,10,1.51,2023-04-28,73
2023-04-29,S001,P040,73,0,,55,0,0,,,18
2023-05-01,S001,P040,18,0,,8,0,0,,,10
2023-05-02,S001,P040,10,0,,10,0,0,,,0
